"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","experimento","grupo","dataset"
"resumen_metricas.311111","modelo_knn - biweight",0.63636,0.36364,0.74227,0.52475,0.55769,0.73404,3,2,"moviles221"
"resumen_metricas.41111","modelo_knn - triweight",0.59343,0.40657,0.70103,0.48515,0.50962,0.69149,3,2,"moviles221"
"resumen_metricas.51111","modelo_knn - cos",0.68939,0.31061,0.79381,0.54455,0.65385,0.7766,3,2,"moviles221"
"resumen_metricas.61111","modelo_knn - inv",0.67929,0.32071,0.7732,0.49505,0.68269,0.7766,3,2,"moviles221"
"resumen_metricas.71111","modelo_knn - gaussian",0.67929,0.32071,0.79381,0.50495,0.64423,0.78723,3,2,"moviles221"
"resumen_metricas.81111","modelo_knn - optimal",0.68182,0.31818,0.7732,0.53465,0.65385,0.7766,3,2,"moviles221"
"resumen_metricas1298","modelo_knn - rectangular",0.67929,0.32071,0.85567,0.57,0.55102,0.74257,3,3,"moviles221"
"resumen_metricas.11292","modelo_knn - triangular",0.65404,0.34596,0.82474,0.53,0.54082,0.72277,3,3,"moviles221"
"resumen_metricas.21291","modelo_knn - epanechnikov",0.66162,0.33838,0.82474,0.54,0.55102,0.73267,3,3,"moviles221"
"resumen_metricas.31291","modelo_knn - biweight",0.64141,0.35859,0.81443,0.53,0.52041,0.70297,3,3,"moviles221"
"resumen_metricas.4129","modelo_knn - triweight",0.60354,0.39646,0.76289,0.52,0.47959,0.65347,3,3,"moviles221"
"resumen_metricas.5129","modelo_knn - cos",0.65657,0.34343,0.82474,0.54,0.54082,0.72277,3,3,"moviles221"
"resumen_metricas.6129","modelo_knn - inv",0.67172,0.32828,0.85567,0.55,0.56122,0.72277,3,3,"moviles221"
"resumen_metricas.7129","modelo_knn - gaussian",0.67424,0.32576,0.85567,0.55,0.55102,0.74257,3,3,"moviles221"
"resumen_metricas.8129","modelo_knn - optimal",0.66414,0.33586,0.82474,0.56,0.54082,0.73267,3,3,"moviles221"
"resumen_metricas1388","modelo_knn - rectangular",0.68434,0.31566,0.81188,0.52577,0.64211,0.74757,3,4,"moviles221"
"resumen_metricas.11382","modelo_knn - triangular",0.66919,0.33081,0.81188,0.46392,0.64211,0.74757,3,4,"moviles221"
"resumen_metricas.21381","modelo_knn - epanechnikov",0.68939,0.31061,0.82178,0.50515,0.67368,0.74757,3,4,"moviles221"
"resumen_metricas.31381","modelo_knn - biweight",0.65657,0.34343,0.78218,0.42268,0.64211,0.76699,3,4,"moviles221"
"resumen_metricas.4138","modelo_knn - triweight",0.63636,0.36364,0.78218,0.42268,0.6,0.72816,3,4,"moviles221"
"resumen_metricas.5138","modelo_knn - cos",0.68182,0.31818,0.82178,0.49485,0.65263,0.74757,3,4,"moviles221"
"resumen_metricas.6138","modelo_knn - inv",0.67677,0.32323,0.82178,0.48454,0.67368,0.71845,3,4,"moviles221"
"resumen_metricas.7138","modelo_knn - gaussian",0.69444,0.30556,0.84158,0.46392,0.69474,0.76699,3,4,"moviles221"
"resumen_metricas.8138","modelo_knn - optimal",0.67424,0.32576,0.81188,0.48454,0.64211,0.74757,3,4,"moviles221"
"resumen_metricas1488","modelo_knn - rectangular",0.65909,0.34091,0.76042,0.49474,0.70476,0.67,3,5,"moviles221"
"resumen_metricas.11482","modelo_knn - triangular",0.70202,0.29798,0.8125,0.54737,0.72381,0.72,3,5,"moviles221"
"resumen_metricas.21481","modelo_knn - epanechnikov",0.69697,0.30303,0.80208,0.52632,0.72381,0.73,3,5,"moviles221"
"resumen_metricas.31481","modelo_knn - biweight",0.67172,0.32828,0.79167,0.48421,0.65714,0.75,3,5,"moviles221"
"resumen_metricas.4148","modelo_knn - triweight",0.63384,0.36616,0.78125,0.44211,0.6,0.71,3,5,"moviles221"
"resumen_metricas.5148","modelo_knn - cos",0.69949,0.30051,0.8125,0.54737,0.71429,0.72,3,5,"moviles221"
"resumen_metricas.6148","modelo_knn - inv",0.68939,0.31061,0.77083,0.51579,0.74286,0.72,3,5,"moviles221"
"resumen_metricas.7148","modelo_knn - gaussian",0.68939,0.31061,0.75,0.53684,0.71429,0.75,3,5,"moviles221"
"resumen_metricas.8148","modelo_knn - optimal",0.69697,0.30303,0.79167,0.53684,0.71429,0.74,3,5,"moviles221"
"resumen_metricas398","modelo_knn - rectangular",0.61364,0.38636,0.7767,0.42683,0.56,0.64865,1,1,"moviles222"
"resumen_metricas.1392","modelo_knn - triangular",0.54798,0.45202,0.64078,0.43902,0.48,0.6036,1,1,"moviles222"
"resumen_metricas.2391","modelo_knn - epanechnikov",0.55303,0.44697,0.66019,0.42683,0.5,0.59459,1,1,"moviles222"
"resumen_metricas.3391","modelo_knn - biweight",0.52778,0.47222,0.63107,0.39024,0.49,0.56757,1,1,"moviles222"
"resumen_metricas.439","modelo_knn - triweight",0.52273,0.47727,0.64078,0.39024,0.49,0.54054,1,1,"moviles222"
"resumen_metricas.539","modelo_knn - cos",0.55556,0.44444,0.66019,0.43902,0.5,0.59459,1,1,"moviles222"
"resumen_metricas.639","modelo_knn - inv",0.60354,0.39646,0.76699,0.43902,0.55,0.62162,1,1,"moviles222"
"resumen_metricas.739","modelo_knn - gaussian",0.59091,0.40909,0.71845,0.42683,0.58,0.6036,1,1,"moviles222"
"resumen_metricas.839","modelo_knn - optimal",0.55808,0.44192,0.65049,0.42683,0.52,0.6036,1,1,"moviles222"
"resumen_metricas1308","modelo_knn - rectangular",0.62626,0.37374,0.77451,0.46602,0.59406,0.67778,1,2,"moviles222"
"resumen_metricas.11302","modelo_knn - triangular",0.62626,0.37374,0.72549,0.50485,0.56436,0.72222,1,2,"moviles222"
"resumen_metricas.21301","modelo_knn - epanechnikov",0.62626,0.37374,0.72549,0.50485,0.56436,0.72222,1,2,"moviles222"
"resumen_metricas.31301","modelo_knn - biweight",0.59091,0.40909,0.68627,0.50485,0.45545,0.73333,1,2,"moviles222"
"resumen_metricas.4130","modelo_knn - triweight",0.55051,0.44949,0.63725,0.49515,0.40594,0.67778,1,2,"moviles222"
"resumen_metricas.5130","modelo_knn - cos",0.62374,0.37626,0.71569,0.50485,0.56436,0.72222,1,2,"moviles222"
"resumen_metricas.6130","modelo_knn - inv",0.63384,0.36616,0.78431,0.46602,0.59406,0.7,1,2,"moviles222"
"resumen_metricas.7130","modelo_knn - gaussian",0.66162,0.33838,0.81373,0.51456,0.57426,0.75556,1,2,"moviles222"
"resumen_metricas.8130","modelo_knn - optimal",0.62374,0.37626,0.73529,0.51456,0.54455,0.71111,1,2,"moviles222"
"resumen_metricas2129","modelo_knn - rectangular",0.59091,0.40909,0.73171,0.5,0.48148,0.68269,1,3,"moviles222"
"resumen_metricas.12122","modelo_knn - triangular",0.58081,0.41919,0.73171,0.42157,0.43519,0.76923,1,3,"moviles222"
"resumen_metricas.22121","modelo_knn - epanechnikov",0.58586,0.41414,0.73171,0.44118,0.43519,0.76923,1,3,"moviles222"
"resumen_metricas.32121","modelo_knn - biweight",0.55051,0.44949,0.7439,0.41176,0.4537,0.63462,1,3,"moviles222"
"resumen_metricas.4212","modelo_knn - triweight",0.5202,0.4798,0.71951,0.37255,0.42593,0.60577,1,3,"moviles222"
"resumen_metricas.5212","modelo_knn - cos",0.58333,0.41667,0.73171,0.42157,0.44444,0.76923,1,3,"moviles222"
"resumen_metricas.6212","modelo_knn - inv",0.59596,0.40404,0.73171,0.46078,0.50926,0.71154,1,3,"moviles222"
"resumen_metricas.7212","modelo_knn - gaussian",0.58838,0.41162,0.73171,0.45098,0.46296,0.74038,1,3,"moviles222"
"resumen_metricas.8212","modelo_knn - optimal",0.58586,0.41414,0.7439,0.44118,0.4537,0.74038,1,3,"moviles222"
"resumen_metricas3108","modelo_knn - rectangular",0.61616,0.38384,0.72381,0.42718,0.61702,0.70213,1,4,"moviles222"
"resumen_metricas.13102","modelo_knn - triangular",0.60354,0.39646,0.75238,0.38835,0.53191,0.74468,1,4,"moviles222"
"resumen_metricas.23101","modelo_knn - epanechnikov",0.60606,0.39394,0.74286,0.40777,0.53191,0.74468,1,4,"moviles222"
"resumen_metricas.33101","modelo_knn - biweight",0.56566,0.43434,0.72381,0.37864,0.47872,0.68085,1,4,"moviles222"
"resumen_metricas.4310","modelo_knn - triweight",0.55051,0.44949,0.69524,0.37864,0.41489,0.71277,1,4,"moviles222"
"resumen_metricas.5310","modelo_knn - cos",0.60354,0.39646,0.75238,0.38835,0.53191,0.74468,1,4,"moviles222"
"resumen_metricas.6310","modelo_knn - inv",0.61616,0.38384,0.74286,0.41748,0.61702,0.69149,1,4,"moviles222"
"resumen_metricas.7310","modelo_knn - gaussian",0.62121,0.37879,0.7619,0.39806,0.59574,0.73404,1,4,"moviles222"
"resumen_metricas.8310","modelo_knn - optimal",0.59848,0.40152,0.74286,0.41748,0.48936,0.74468,1,4,"moviles222"
"resumen_metricas498","modelo_knn - rectangular",0.63384,0.36616,0.74038,0.46667,0.64516,0.69149,1,5,"moviles222"
"resumen_metricas.1492","modelo_knn - triangular",0.58333,0.41667,0.73077,0.44762,0.53763,0.61702,1,5,"moviles222"
"resumen_metricas.2491","modelo_knn - epanechnikov",0.60101,0.39899,0.72115,0.47619,0.54839,0.65957,1,5,"moviles222"
"resumen_metricas.3491","modelo_knn - biweight",0.55808,0.44192,0.65385,0.45714,0.50538,0.61702,1,5,"moviles222"
"resumen_metricas.449","modelo_knn - triweight",0.52273,0.47727,0.65385,0.42857,0.44086,0.56383,1,5,"moviles222"
"resumen_metricas.549","modelo_knn - cos",0.58838,0.41162,0.73077,0.44762,0.54839,0.62766,1,5,"moviles222"
"resumen_metricas.649","modelo_knn - inv",0.63889,0.36111,0.75962,0.47619,0.63441,0.69149,1,5,"moviles222"
"resumen_metricas.749","modelo_knn - gaussian",0.62879,0.37121,0.75962,0.47619,0.5914,0.69149,1,5,"moviles222"
"resumen_metricas.849","modelo_knn - optimal",0.58333,0.41667,0.72115,0.46667,0.53763,0.60638,1,5,"moviles222"
"resumen_metricas598","modelo_knn - rectangular",0.62374,0.37626,0.7449,0.48889,0.55172,0.71739,2,1,"moviles222"
"resumen_metricas.1592","modelo_knn - triangular",0.57576,0.42424,0.78571,0.33333,0.5,0.68478,2,1,"moviles222"
"resumen_metricas.2591","modelo_knn - epanechnikov",0.57323,0.42677,0.78571,0.33333,0.5,0.67391,2,1,"moviles222"
"resumen_metricas.3591","modelo_knn - biweight",0.56818,0.43182,0.7551,0.36667,0.50862,0.6413,2,1,"moviles222"
"resumen_metricas.459","modelo_knn - triweight",0.50253,0.49747,0.66327,0.27778,0.48276,0.57609,2,1,"moviles222"
"resumen_metricas.559","modelo_knn - cos",0.57576,0.42424,0.78571,0.33333,0.5,0.68478,2,1,"moviles222"
"resumen_metricas.659","modelo_knn - inv",0.62374,0.37626,0.7449,0.46667,0.56897,0.71739,2,1,"moviles222"
"resumen_metricas.759","modelo_knn - gaussian",0.61364,0.38636,0.7551,0.38889,0.56897,0.73913,2,1,"moviles222"
"resumen_metricas.859","modelo_knn - optimal",0.56566,0.43434,0.7551,0.33333,0.48276,0.69565,2,1,"moviles222"
"resumen_metricas698","modelo_knn - rectangular",0.58333,0.41667,0.81176,0.39474,0.53409,0.6422,2,2,"moviles222"
"resumen_metricas.1692","modelo_knn - triangular",0.59343,0.40657,0.78824,0.41228,0.55682,0.66055,2,2,"moviles222"
"resumen_metricas.2691","modelo_knn - epanechnikov",0.59091,0.40909,0.78824,0.41228,0.53409,0.66972,2,2,"moviles222"
"resumen_metricas.3691","modelo_knn - biweight",0.59091,0.40909,0.76471,0.40351,0.59091,0.65138,2,2,"moviles222"
"resumen_metricas.469","modelo_knn - triweight",0.55303,0.44697,0.74118,0.36842,0.51136,0.63303,2,2,"moviles222"
"resumen_metricas.569","modelo_knn - cos",0.59091,0.40909,0.78824,0.40351,0.55682,0.66055,2,2,"moviles222"
"resumen_metricas.669","modelo_knn - inv",0.61364,0.38636,0.83529,0.42982,0.55682,0.6789,2,2,"moviles222"
"resumen_metricas.769","modelo_knn - gaussian",0.61364,0.38636,0.81176,0.44737,0.56818,0.66972,2,2,"moviles222"
"resumen_metricas.869","modelo_knn - optimal",0.60101,0.39899,0.81176,0.41228,0.54545,0.6789,2,2,"moviles222"
"resumen_metricas798","modelo_knn - rectangular",0.60354,0.39646,0.81395,0.42857,0.53535,0.66981,2,3,"moviles222"
"resumen_metricas.1792","modelo_knn - triangular",0.58838,0.41162,0.73256,0.44762,0.51515,0.67925,2,3,"moviles222"
"resumen_metricas.2791","modelo_knn - epanechnikov",0.59596,0.40404,0.75581,0.45714,0.52525,0.66981,2,3,"moviles222"
"resumen_metricas.3791","modelo_knn - biweight",0.5404,0.4596,0.69767,0.4381,0.43434,0.61321,2,3,"moviles222"
"resumen_metricas.479","modelo_knn - triweight",0.5101,0.4899,0.69767,0.4,0.40404,0.56604,2,3,"moviles222"
"resumen_metricas.579","modelo_knn - cos",0.59091,0.40909,0.73256,0.44762,0.52525,0.67925,2,3,"moviles222"
"resumen_metricas.679","modelo_knn - inv",0.59848,0.40152,0.81395,0.42857,0.53535,0.65094,2,3,"moviles222"
"resumen_metricas.779","modelo_knn - gaussian",0.61111,0.38889,0.80233,0.4381,0.55556,0.67925,2,3,"moviles222"
"resumen_metricas.879","modelo_knn - optimal",0.58586,0.41414,0.73256,0.4381,0.53535,0.66038,2,3,"moviles222"
"resumen_metricas898","modelo_knn - rectangular",0.62121,0.37879,0.68421,0.46067,0.55789,0.7551,2,4,"moviles222"
"resumen_metricas.1892","modelo_knn - triangular",0.62879,0.37121,0.7193,0.50562,0.52632,0.73469,2,4,"moviles222"
"resumen_metricas.2891","modelo_knn - epanechnikov",0.63131,0.36869,0.73684,0.49438,0.52632,0.73469,2,4,"moviles222"
"resumen_metricas.3891","modelo_knn - biweight",0.57323,0.42677,0.66667,0.46067,0.46316,0.67347,2,4,"moviles222"
"resumen_metricas.489","modelo_knn - triweight",0.54798,0.45202,0.68421,0.4382,0.41053,0.62245,2,4,"moviles222"
"resumen_metricas.589","modelo_knn - cos",0.63131,0.36869,0.72807,0.50562,0.52632,0.73469,2,4,"moviles222"
"resumen_metricas.689","modelo_knn - inv",0.64899,0.35101,0.7193,0.51685,0.56842,0.76531,2,4,"moviles222"
"resumen_metricas.789","modelo_knn - gaussian",0.64394,0.35606,0.71053,0.52809,0.56842,0.7449,2,4,"moviles222"
"resumen_metricas.889","modelo_knn - optimal",0.61869,0.38131,0.71053,0.48315,0.50526,0.7449,2,4,"moviles222"
"resumen_metricas998","modelo_knn - rectangular",0.64899,0.35101,0.78761,0.51546,0.54082,0.73864,2,5,"moviles222"
"resumen_metricas.1992","modelo_knn - triangular",0.59091,0.40909,0.72566,0.45361,0.46939,0.70455,2,5,"moviles222"
"resumen_metricas.2991","modelo_knn - epanechnikov",0.59343,0.40657,0.69912,0.49485,0.46939,0.70455,2,5,"moviles222"
"resumen_metricas.3991","modelo_knn - biweight",0.55808,0.44192,0.69027,0.46392,0.41837,0.64773,2,5,"moviles222"
"resumen_metricas.499","modelo_knn - triweight",0.5303,0.4697,0.65487,0.41237,0.39796,0.64773,2,5,"moviles222"
"resumen_metricas.599","modelo_knn - cos",0.59343,0.40657,0.71681,0.46392,0.47959,0.70455,2,5,"moviles222"
"resumen_metricas.699","modelo_knn - inv",0.64141,0.35859,0.78761,0.54639,0.52041,0.69318,2,5,"moviles222"
"resumen_metricas.799","modelo_knn - gaussian",0.62121,0.37879,0.75221,0.52577,0.4898,0.70455,2,5,"moviles222"
"resumen_metricas.899","modelo_knn - optimal",0.58081,0.41919,0.70796,0.45361,0.46939,0.68182,2,5,"moviles222"
"resumen_metricas1098","modelo_knn - rectangular",0.67677,0.32323,0.83505,0.48571,0.63441,0.76238,3,1,"moviles222"
"resumen_metricas.11092","modelo_knn - triangular",0.60101,0.39899,0.85567,0.39048,0.44086,0.72277,3,1,"moviles222"
"resumen_metricas.21091","modelo_knn - epanechnikov",0.60606,0.39394,0.85567,0.39048,0.46237,0.72277,3,1,"moviles222"
"resumen_metricas.31091","modelo_knn - biweight",0.56313,0.43687,0.78351,0.37143,0.43011,0.67327,3,1,"moviles222"
"resumen_metricas.4109","modelo_knn - triweight",0.5303,0.4697,0.72165,0.3619,0.43011,0.61386,3,1,"moviles222"
"resumen_metricas.5109","modelo_knn - cos",0.60101,0.39899,0.85567,0.39048,0.44086,0.72277,3,1,"moviles222"
"resumen_metricas.6109","modelo_knn - inv",0.66919,0.33081,0.86598,0.45714,0.60215,0.76238,3,1,"moviles222"
"resumen_metricas.7109","modelo_knn - gaussian",0.64394,0.35606,0.83505,0.45714,0.54839,0.74257,3,1,"moviles222"
"resumen_metricas.8109","modelo_knn - optimal",0.60101,0.39899,0.84536,0.38095,0.46237,0.72277,3,1,"moviles222"
"resumen_metricas11129","modelo_knn - rectangular",0.62626,0.37374,0.72414,0.43,0.56863,0.80769,3,2,"moviles222"
"resumen_metricas.111122","modelo_knn - triangular",0.60606,0.39394,0.7069,0.44,0.53922,0.75641,3,2,"moviles222"
"resumen_metricas.211121","modelo_knn - epanechnikov",0.59596,0.40404,0.7069,0.42,0.52941,0.74359,3,2,"moviles222"
"resumen_metricas.311121","modelo_knn - biweight",0.58081,0.41919,0.63793,0.47,0.4902,0.75641,3,2,"moviles222"
"resumen_metricas.41112","modelo_knn - triweight",0.52778,0.47222,0.57759,0.43,0.45098,0.67949,3,2,"moviles222"
"resumen_metricas.51112","modelo_knn - cos",0.59848,0.40152,0.7069,0.42,0.52941,0.75641,3,2,"moviles222"
"resumen_metricas.61112","modelo_knn - inv",0.62626,0.37374,0.71552,0.43,0.57843,0.80769,3,2,"moviles222"
"resumen_metricas.71112","modelo_knn - gaussian",0.63636,0.36364,0.71552,0.47,0.58824,0.79487,3,2,"moviles222"
"resumen_metricas.81112","modelo_knn - optimal",0.60101,0.39899,0.68103,0.43,0.54902,0.76923,3,2,"moviles222"
"resumen_metricas12108","modelo_knn - rectangular",0.64899,0.35101,0.77477,0.51923,0.56044,0.73333,3,3,"moviles222"
"resumen_metricas.112102","modelo_knn - triangular",0.65152,0.34848,0.7027,0.53846,0.56044,0.81111,3,3,"moviles222"
"resumen_metricas.212101","modelo_knn - epanechnikov",0.65657,0.34343,0.7027,0.53846,0.58242,0.81111,3,3,"moviles222"
"resumen_metricas.312101","modelo_knn - biweight",0.59091,0.40909,0.64865,0.5,0.48352,0.73333,3,3,"moviles222"
"resumen_metricas.41210","modelo_knn - triweight",0.55303,0.44697,0.63063,0.40385,0.46154,0.72222,3,3,"moviles222"
"resumen_metricas.51210","modelo_knn - cos",0.65404,0.34596,0.7027,0.53846,0.57143,0.81111,3,3,"moviles222"
"resumen_metricas.61210","modelo_knn - inv",0.63889,0.36111,0.74775,0.50962,0.51648,0.77778,3,3,"moviles222"
"resumen_metricas.71210","modelo_knn - gaussian",0.64899,0.35101,0.72973,0.52885,0.56044,0.77778,3,3,"moviles222"
"resumen_metricas.81210","modelo_knn - optimal",0.63131,0.36869,0.7027,0.52885,0.50549,0.78889,3,3,"moviles222"
"resumen_metricas1398","modelo_knn - rectangular",0.64394,0.35606,0.78571,0.56522,0.52294,0.72072,3,4,"moviles222"
"resumen_metricas.11392","modelo_knn - triangular",0.62374,0.37626,0.7619,0.45652,0.55963,0.72072,3,4,"moviles222"
"resumen_metricas.21391","modelo_knn - epanechnikov",0.62626,0.37374,0.77381,0.44565,0.55963,0.72973,3,4,"moviles222"
"resumen_metricas.31391","modelo_knn - biweight",0.59343,0.40657,0.70238,0.45652,0.52294,0.69369,3,4,"moviles222"
"resumen_metricas.4139","modelo_knn - triweight",0.5404,0.4596,0.64286,0.42391,0.48624,0.61261,3,4,"moviles222"
"resumen_metricas.5139","modelo_knn - cos",0.61616,0.38384,0.7381,0.45652,0.55046,0.72072,3,4,"moviles222"
"resumen_metricas.6139","modelo_knn - inv",0.63384,0.36616,0.79762,0.48913,0.54128,0.72072,3,4,"moviles222"
"resumen_metricas.7139","modelo_knn - gaussian",0.65404,0.34596,0.79762,0.48913,0.59633,0.73874,3,4,"moviles222"
"resumen_metricas.8139","modelo_knn - optimal",0.62879,0.37121,0.77381,0.51087,0.53211,0.71171,3,4,"moviles222"
"resumen_metricas1498","modelo_knn - rectangular",0.58838,0.41162,0.68182,0.5,0.58416,0.59292,3,5,"moviles222"
"resumen_metricas.11492","modelo_knn - triangular",0.58586,0.41414,0.63636,0.55319,0.50495,0.64602,3,5,"moviles222"
"resumen_metricas.21491","modelo_knn - epanechnikov",0.60101,0.39899,0.64773,0.58511,0.51485,0.65487,3,5,"moviles222"
"resumen_metricas.31491","modelo_knn - biweight",0.54293,0.45707,0.57955,0.51064,0.50495,0.57522,3,5,"moviles222"
"resumen_metricas.4149","modelo_knn - triweight",0.51768,0.48232,0.64773,0.42553,0.43564,0.56637,3,5,"moviles222"
"resumen_metricas.5149","modelo_knn - cos",0.59343,0.40657,0.64773,0.55319,0.51485,0.65487,3,5,"moviles222"
"resumen_metricas.6149","modelo_knn - inv",0.60101,0.39899,0.67045,0.5,0.56436,0.66372,3,5,"moviles222"
"resumen_metricas.7149","modelo_knn - gaussian",0.58333,0.41667,0.63636,0.52128,0.55446,0.61947,3,5,"moviles222"
"resumen_metricas.8149","modelo_knn - optimal",0.59596,0.40404,0.65909,0.58511,0.50495,0.63717,3,5,"moviles222"
"resumen_metricas408","modelo_knn - rectangular",0.65152,0.34848,0.79121,0.52632,0.6036,0.69697,1,1,"moviles231"
"resumen_metricas.1402","modelo_knn - triangular",0.68687,0.31313,0.84615,0.58947,0.61261,0.71717,1,1,"moviles231"
"resumen_metricas.2401","modelo_knn - epanechnikov",0.68182,0.31818,0.84615,0.58947,0.6036,0.70707,1,1,"moviles231"
"resumen_metricas.3401","modelo_knn - biweight",0.64646,0.35354,0.79121,0.58947,0.54955,0.67677,1,1,"moviles231"
"resumen_metricas.440","modelo_knn - triweight",0.64899,0.35101,0.82418,0.56842,0.53153,0.69697,1,1,"moviles231"
"resumen_metricas.540","modelo_knn - cos",0.67929,0.32071,0.83516,0.58947,0.6036,0.70707,1,1,"moviles231"
"resumen_metricas.640","modelo_knn - inv",0.67424,0.32576,0.8022,0.56842,0.62162,0.71717,1,1,"moviles231"
"resumen_metricas.740","modelo_knn - gaussian",0.68434,0.31566,0.82418,0.56842,0.63063,0.72727,1,1,"moviles231"
"resumen_metricas.840","modelo_knn - optimal",0.67424,0.32576,0.81319,0.57895,0.63063,0.68687,1,1,"moviles231"
"resumen_metricas1408","modelo_knn - rectangular",0.67424,0.32576,0.84314,0.50575,0.59223,0.73077,1,2,"moviles231"
"resumen_metricas.11402","modelo_knn - triangular",0.68434,0.31566,0.82353,0.54023,0.60194,0.75,1,2,"moviles231"
"resumen_metricas.21401","modelo_knn - epanechnikov",0.67677,0.32323,0.83333,0.51724,0.59223,0.74038,1,2,"moviles231"
"resumen_metricas.31401","modelo_knn - biweight",0.64899,0.35101,0.79412,0.44828,0.5534,0.76923,1,2,"moviles231"
"resumen_metricas.4140","modelo_knn - triweight",0.60354,0.39646,0.77451,0.47126,0.46602,0.68269,1,2,"moviles231"
"resumen_metricas.5140","modelo_knn - cos",0.68434,0.31566,0.82353,0.52874,0.61165,0.75,1,2,"moviles231"
"resumen_metricas.6140","modelo_knn - inv",0.67424,0.32576,0.85294,0.51724,0.58252,0.72115,1,2,"moviles231"
"resumen_metricas.7140","modelo_knn - gaussian",0.67424,0.32576,0.82353,0.52874,0.60194,0.72115,1,2,"moviles231"
"resumen_metricas.8140","modelo_knn - optimal",0.68939,0.31061,0.83333,0.52874,0.60194,0.76923,1,2,"moviles231"
"resumen_metricas2138","modelo_knn - rectangular",0.71717,0.28283,0.84762,0.51887,0.68675,0.81373,1,3,"moviles231"
"resumen_metricas.12132","modelo_knn - triangular",0.68182,0.31818,0.82857,0.50943,0.61446,0.76471,1,3,"moviles231"
"resumen_metricas.22131","modelo_knn - epanechnikov",0.67929,0.32071,0.80952,0.51887,0.60241,0.77451,1,3,"moviles231"
"resumen_metricas.32131","modelo_knn - biweight",0.64646,0.35354,0.77143,0.4717,0.61446,0.72549,1,3,"moviles231"
"resumen_metricas.4213","modelo_knn - triweight",0.61364,0.38636,0.71429,0.49057,0.55422,0.68627,1,3,"moviles231"
"resumen_metricas.5213","modelo_knn - cos",0.67677,0.32323,0.80952,0.50943,0.60241,0.77451,1,3,"moviles231"
"resumen_metricas.6213","modelo_knn - inv",0.71212,0.28788,0.84762,0.5,0.71084,0.79412,1,3,"moviles231"
"resumen_metricas.7213","modelo_knn - gaussian",0.69697,0.30303,0.85714,0.5,0.6506,0.77451,1,3,"moviles231"
"resumen_metricas.8213","modelo_knn - optimal",0.68434,0.31566,0.80952,0.5,0.63855,0.78431,1,3,"moviles231"
"resumen_metricas31111","modelo_knn - rectangular",0.64141,0.35859,0.75,0.5,0.56311,0.77647,1,4,"moviles231"
"resumen_metricas.13112","modelo_knn - triangular",0.64394,0.35606,0.74038,0.5,0.57282,0.78824,1,4,"moviles231"
"resumen_metricas.23111","modelo_knn - epanechnikov",0.66162,0.33838,0.75,0.52885,0.59223,0.8,1,4,"moviles231"
"resumen_metricas.33111","modelo_knn - biweight",0.61111,0.38889,0.71154,0.42308,0.56311,0.77647,1,4,"moviles231"
"resumen_metricas.4311","modelo_knn - triweight",0.57071,0.42929,0.70192,0.35577,0.51456,0.74118,1,4,"moviles231"
"resumen_metricas.5311","modelo_knn - cos",0.65657,0.34343,0.75,0.51923,0.58252,0.8,1,4,"moviles231"
"resumen_metricas.6311","modelo_knn - inv",0.64899,0.35101,0.73077,0.50962,0.56311,0.82353,1,4,"moviles231"
"resumen_metricas.7311","modelo_knn - gaussian",0.66414,0.33586,0.75,0.52885,0.59223,0.81176,1,4,"moviles231"
"resumen_metricas.8311","modelo_knn - optimal",0.64646,0.35354,0.75962,0.5,0.57282,0.77647,1,4,"moviles231"
"resumen_metricas4108","modelo_knn - rectangular",0.70455,0.29545,0.82979,0.59223,0.70833,0.69903,1,5,"moviles231"
"resumen_metricas.14102","modelo_knn - triangular",0.67677,0.32323,0.7766,0.53398,0.6875,0.71845,1,5,"moviles231"
"resumen_metricas.24101","modelo_knn - epanechnikov",0.67424,0.32576,0.78723,0.51456,0.71875,0.68932,1,5,"moviles231"
"resumen_metricas.34101","modelo_knn - biweight",0.65909,0.34091,0.74468,0.5534,0.64583,0.69903,1,5,"moviles231"
"resumen_metricas.4410","modelo_knn - triweight",0.64394,0.35606,0.7234,0.5534,0.60417,0.69903,1,5,"moviles231"
"resumen_metricas.5410","modelo_knn - cos",0.66919,0.33081,0.7766,0.51456,0.6875,0.70874,1,5,"moviles231"
"resumen_metricas.6410","modelo_knn - inv",0.71212,0.28788,0.81915,0.63107,0.69792,0.70874,1,5,"moviles231"
"resumen_metricas.7410","modelo_knn - gaussian",0.69444,0.30556,0.82979,0.58252,0.69792,0.67961,1,5,"moviles231"
"resumen_metricas.8410","modelo_knn - optimal",0.67929,0.32071,0.79787,0.54369,0.66667,0.71845,1,5,"moviles231"
"resumen_metricas5108","modelo_knn - rectangular",0.68434,0.31566,0.78049,0.57282,0.625,0.7757,2,1,"moviles231"
"resumen_metricas.15102","modelo_knn - triangular",0.67677,0.32323,0.76829,0.51456,0.61538,0.82243,2,1,"moviles231"
"resumen_metricas.25101","modelo_knn - epanechnikov",0.67929,0.32071,0.78049,0.52427,0.61538,0.81308,2,1,"moviles231"
"resumen_metricas.35101","modelo_knn - biweight",0.63131,0.36869,0.73171,0.46602,0.54808,0.79439,2,1,"moviles231"
"resumen_metricas.4510","modelo_knn - triweight",0.61616,0.38384,0.71951,0.49515,0.50962,0.75701,2,1,"moviles231"
