"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas.2941","modelo_knn - epanechnikov",0.7225,0.2775,0.75962,0.52222,0.7549,0.82692,"k = 40",2,5,"moviles131"
"resumen_metricas.3941","modelo_knn - biweight",0.7075,0.2925,0.76923,0.54444,0.72549,0.76923,"k = 40",2,5,"moviles131"
"resumen_metricas.494","modelo_knn - triweight",0.68,0.32,0.81731,0.47778,0.65686,0.74038,"k = 37",2,5,"moviles131"
"resumen_metricas.594","modelo_knn - cos",0.725,0.275,0.75962,0.53333,0.76471,0.81731,"k = 38",2,5,"moviles131"
"resumen_metricas.694","modelo_knn - inv",0.7475,0.2525,0.75,0.65556,0.73529,0.83654,"k = 39",2,5,"moviles131"
"resumen_metricas.794","modelo_knn - gaussian",0.735,0.265,0.76923,0.57778,0.7451,0.82692,"k = 39",2,5,"moviles131"
"resumen_metricas.894","modelo_knn - optimal",0.73,0.27,0.76923,0.52222,0.76471,0.83654,"k = 40",2,5,"moviles131"
"resumen_metricas1048","modelo_knn - rectangular",0.675,0.325,0.83,0.45098,0.70652,0.71698,"k = 40",3,1,"moviles131"
"resumen_metricas.11042","modelo_knn - triangular",0.6525,0.3475,0.79,0.45098,0.66304,0.70755,"k = 40",3,1,"moviles131"
"resumen_metricas.21041","modelo_knn - epanechnikov",0.655,0.345,0.8,0.45098,0.67391,0.69811,"k = 38",3,1,"moviles131"
"resumen_metricas.31041","modelo_knn - biweight",0.655,0.345,0.79,0.46078,0.63043,0.73585,"k = 40",3,1,"moviles131"
"resumen_metricas.4104","modelo_knn - triweight",0.63,0.37,0.74,0.46078,0.61957,0.69811,"k = 39",3,1,"moviles131"
"resumen_metricas.5104","modelo_knn - cos",0.6525,0.3475,0.79,0.45098,0.66304,0.70755,"k = 40",3,1,"moviles131"
"resumen_metricas.6104","modelo_knn - inv",0.67,0.33,0.8,0.48039,0.68478,0.71698,"k = 39",3,1,"moviles131"
"resumen_metricas.7104","modelo_knn - gaussian",0.6575,0.3425,0.81,0.47059,0.66304,0.68868,"k = 39",3,1,"moviles131"
"resumen_metricas.8104","modelo_knn - optimal",0.6525,0.3475,0.78,0.48039,0.67391,0.67925,"k = 40",3,1,"moviles131"
"resumen_metricas1158","modelo_knn - rectangular",0.665,0.335,0.8172,0.54206,0.61682,0.70968,"k = 24",3,2,"moviles131"
"resumen_metricas.11152","modelo_knn - triangular",0.685,0.315,0.86022,0.52336,0.65421,0.73118,"k = 40",3,2,"moviles131"
"resumen_metricas.21151","modelo_knn - epanechnikov",0.6925,0.3075,0.86022,0.56075,0.64486,0.73118,"k = 37",3,2,"moviles131"
"resumen_metricas.31151","modelo_knn - biweight",0.65,0.35,0.7957,0.52336,0.58879,0.72043,"k = 39",3,2,"moviles131"
"resumen_metricas.4115","modelo_knn - triweight",0.6025,0.3975,0.78495,0.47664,0.49533,0.68817,"k = 40",3,2,"moviles131"
"resumen_metricas.5115","modelo_knn - cos",0.68,0.32,0.86022,0.52336,0.64486,0.72043,"k = 40",3,2,"moviles131"
"resumen_metricas.6115","modelo_knn - inv",0.6625,0.3375,0.8172,0.53271,0.62617,0.69892,"k = 37",3,2,"moviles131"
"resumen_metricas.7115","modelo_knn - gaussian",0.695,0.305,0.87097,0.5514,0.64486,0.74194,"k = 39",3,2,"moviles131"
"resumen_metricas.8115","modelo_knn - optimal",0.6875,0.3125,0.84946,0.5514,0.63551,0.74194,"k = 40",3,2,"moviles131"
"resumen_metricas1248","modelo_knn - rectangular",0.67,0.33,0.70796,0.65169,0.57407,0.75556,"k = 40",3,3,"moviles131"
"resumen_metricas.11242","modelo_knn - triangular",0.6925,0.3075,0.78761,0.65169,0.52778,0.81111,"k = 40",3,3,"moviles131"
"resumen_metricas.21241","modelo_knn - epanechnikov",0.695,0.305,0.77876,0.67416,0.52778,0.81111,"k = 40",3,3,"moviles131"
"resumen_metricas.31241","modelo_knn - biweight",0.66,0.34,0.74336,0.59551,0.51852,0.78889,"k = 39",3,3,"moviles131"
"resumen_metricas.4124","modelo_knn - triweight",0.645,0.355,0.76106,0.5618,0.50926,0.74444,"k = 40",3,3,"moviles131"
"resumen_metricas.5124","modelo_knn - cos",0.6925,0.3075,0.78761,0.65169,0.52778,0.81111,"k = 40",3,3,"moviles131"
"resumen_metricas.6124","modelo_knn - inv",0.68,0.32,0.72566,0.68539,0.57407,0.74444,"k = 36",3,3,"moviles131"
"resumen_metricas.7124","modelo_knn - gaussian",0.6925,0.3075,0.76991,0.66292,0.5463,0.8,"k = 39",3,3,"moviles131"
"resumen_metricas.8124","modelo_knn - optimal",0.6825,0.3175,0.76106,0.64045,0.53704,0.8,"k = 39",3,3,"moviles131"
"resumen_metricas1348","modelo_knn - rectangular",0.645,0.355,0.75,0.50962,0.64423,0.69231,"k = 29",3,4,"moviles131"
"resumen_metricas.11342","modelo_knn - triangular",0.6575,0.3425,0.77273,0.48077,0.59615,0.79808,"k = 40",3,4,"moviles131"
"resumen_metricas.21341","modelo_knn - epanechnikov",0.6525,0.3475,0.76136,0.47115,0.58654,0.80769,"k = 39",3,4,"moviles131"
"resumen_metricas.31341","modelo_knn - biweight",0.6525,0.3475,0.76136,0.50962,0.57692,0.77885,"k = 40",3,4,"moviles131"
"resumen_metricas.4134","modelo_knn - triweight",0.64,0.36,0.76136,0.51923,0.51923,0.77885,"k = 40",3,4,"moviles131"
"resumen_metricas.5134","modelo_knn - cos",0.66,0.34,0.77273,0.48077,0.59615,0.80769,"k = 40",3,4,"moviles131"
"resumen_metricas.6134","modelo_knn - inv",0.6475,0.3525,0.77273,0.52885,0.625,0.68269,"k = 34",3,4,"moviles131"
"resumen_metricas.7134","modelo_knn - gaussian",0.68,0.32,0.79545,0.50962,0.64423,0.78846,"k = 37",3,4,"moviles131"
"resumen_metricas.8134","modelo_knn - optimal",0.6475,0.3525,0.76136,0.45192,0.60577,0.78846,"k = 40",3,4,"moviles131"
"resumen_metricas1448","modelo_knn - rectangular",0.685,0.315,0.78302,0.45918,0.70787,0.7757,"k = 36",3,5,"moviles131"
"resumen_metricas.11442","modelo_knn - triangular",0.675,0.325,0.75472,0.47959,0.66292,0.78505,"k = 40",3,5,"moviles131"
"resumen_metricas.21441","modelo_knn - epanechnikov",0.6825,0.3175,0.76415,0.47959,0.68539,0.78505,"k = 40",3,5,"moviles131"
"resumen_metricas.31441","modelo_knn - biweight",0.6425,0.3575,0.72642,0.46939,0.60674,0.74766,"k = 40",3,5,"moviles131"
"resumen_metricas.4144","modelo_knn - triweight",0.615,0.385,0.71698,0.4898,0.51685,0.71028,"k = 40",3,5,"moviles131"
"resumen_metricas.5144","modelo_knn - cos",0.68,0.32,0.76415,0.47959,0.67416,0.78505,"k = 40",3,5,"moviles131"
"resumen_metricas.6144","modelo_knn - inv",0.685,0.315,0.76415,0.4898,0.70787,0.76636,"k = 37",3,5,"moviles131"
"resumen_metricas.7144","modelo_knn - gaussian",0.6825,0.3175,0.76415,0.5,0.67416,0.7757,"k = 40",3,5,"moviles131"
"resumen_metricas.8144","modelo_knn - optimal",0.685,0.315,0.74528,0.5,0.68539,0.79439,"k = 40",3,5,"moviles131"
"resumen_metricas258","modelo_knn - rectangular",0.63,0.37,0.7549,0.5283,0.60417,0.63542,"k = 37",1,1,"moviles132"
"resumen_metricas.1252","modelo_knn - triangular",0.63,0.37,0.7549,0.5,0.5625,0.70833,"k = 37",1,1,"moviles132"
"resumen_metricas.2251","modelo_knn - epanechnikov",0.635,0.365,0.7451,0.50943,0.57292,0.71875,"k = 40",1,1,"moviles132"
"resumen_metricas.3251","modelo_knn - biweight",0.5825,0.4175,0.71569,0.4434,0.52083,0.65625,"k = 40",1,1,"moviles132"
"resumen_metricas.425","modelo_knn - triweight",0.5325,0.4675,0.65686,0.36792,0.5,0.61458,"k = 38",1,1,"moviles132"
"resumen_metricas.525","modelo_knn - cos",0.6375,0.3625,0.7549,0.50943,0.57292,0.71875,"k = 39",1,1,"moviles132"
"resumen_metricas.625","modelo_knn - inv",0.6225,0.3775,0.72549,0.49057,0.60417,0.67708,"k = 36",1,1,"moviles132"
"resumen_metricas.725","modelo_knn - gaussian",0.6425,0.3575,0.7549,0.45283,0.66667,0.70833,"k = 38",1,1,"moviles132"
"resumen_metricas.825","modelo_knn - optimal",0.6175,0.3825,0.72549,0.4717,0.58333,0.69792,"k = 40",1,1,"moviles132"
"resumen_metricas1168","modelo_knn - rectangular",0.6275,0.3725,0.81,0.37273,0.71429,0.65094,"k = 37",1,2,"moviles132"
"resumen_metricas.11162","modelo_knn - triangular",0.61,0.39,0.79,0.46364,0.60714,0.59434,"k = 40",1,2,"moviles132"
"resumen_metricas.21161","modelo_knn - epanechnikov",0.6125,0.3875,0.79,0.44545,0.61905,0.61321,"k = 40",1,2,"moviles132"
"resumen_metricas.31161","modelo_knn - biweight",0.6,0.4,0.75,0.45455,0.59524,0.61321,"k = 40",1,2,"moviles132"
"resumen_metricas.4116","modelo_knn - triweight",0.5525,0.4475,0.74,0.43636,0.5119,0.5283,"k = 40",1,2,"moviles132"
"resumen_metricas.5116","modelo_knn - cos",0.6075,0.3925,0.79,0.44545,0.60714,0.60377,"k = 39",1,2,"moviles132"
"resumen_metricas.6116","modelo_knn - inv",0.64,0.36,0.82,0.41818,0.71429,0.64151,"k = 40",1,2,"moviles132"
"resumen_metricas.7116","modelo_knn - gaussian",0.64,0.36,0.8,0.42727,0.69048,0.66981,"k = 36",1,2,"moviles132"
"resumen_metricas.8116","modelo_knn - optimal",0.6025,0.3975,0.79,0.42727,0.60714,0.60377,"k = 40",1,2,"moviles132"
"resumen_metricas268","modelo_knn - rectangular",0.605,0.395,0.77895,0.47312,0.48113,0.68868,"k = 32",1,3,"moviles132"
"resumen_metricas.1262","modelo_knn - triangular",0.59,0.41,0.69474,0.50538,0.43396,0.72642,"k = 40",1,3,"moviles132"
"resumen_metricas.2261","modelo_knn - epanechnikov",0.595,0.405,0.71579,0.50538,0.4434,0.71698,"k = 40",1,3,"moviles132"
"resumen_metricas.3261","modelo_knn - biweight",0.5525,0.4475,0.68421,0.46237,0.40566,0.66038,"k = 39",1,3,"moviles132"
"resumen_metricas.426","modelo_knn - triweight",0.5375,0.4625,0.68421,0.47312,0.40566,0.59434,"k = 40",1,3,"moviles132"
"resumen_metricas.526","modelo_knn - cos",0.59,0.41,0.70526,0.51613,0.42453,0.71698,"k = 40",1,3,"moviles132"
"resumen_metricas.626","modelo_knn - inv",0.615,0.385,0.8,0.48387,0.4717,0.70755,"k = 39",1,3,"moviles132"
"resumen_metricas.726","modelo_knn - gaussian",0.6075,0.3925,0.77895,0.49462,0.43396,0.72642,"k = 38",1,3,"moviles132"
"resumen_metricas.826","modelo_knn - optimal",0.58,0.42,0.71579,0.51613,0.39623,0.69811,"k = 40",1,3,"moviles132"
"resumen_metricas358","modelo_knn - rectangular",0.63,0.37,0.74747,0.56522,0.5,0.71717,"k = 38",1,4,"moviles132"
"resumen_metricas.1352","modelo_knn - triangular",0.61,0.39,0.71717,0.52174,0.49091,0.71717,"k = 40",1,4,"moviles132"
"resumen_metricas.2351","modelo_knn - epanechnikov",0.605,0.395,0.72727,0.52174,0.47273,0.70707,"k = 40",1,4,"moviles132"
"resumen_metricas.3351","modelo_knn - biweight",0.5625,0.4375,0.68687,0.47826,0.44545,0.64646,"k = 39",1,4,"moviles132"
"resumen_metricas.435","modelo_knn - triweight",0.5125,0.4875,0.64646,0.40217,0.38182,0.62626,"k = 39",1,4,"moviles132"
"resumen_metricas.535","modelo_knn - cos",0.6075,0.3925,0.71717,0.52174,0.48182,0.71717,"k = 40",1,4,"moviles132"
"resumen_metricas.635","modelo_knn - inv",0.6225,0.3775,0.73737,0.52174,0.50909,0.72727,"k = 37",1,4,"moviles132"
"resumen_metricas.735","modelo_knn - gaussian",0.6325,0.3675,0.74747,0.56522,0.5,0.72727,"k = 37",1,4,"moviles132"
"resumen_metricas.835","modelo_knn - optimal",0.6025,0.3975,0.73737,0.5,0.48182,0.69697,"k = 38",1,4,"moviles132"
"resumen_metricas458","modelo_knn - rectangular",0.6825,0.3175,0.84615,0.49495,0.63462,0.75269,"k = 37",1,5,"moviles132"
"resumen_metricas.1452","modelo_knn - triangular",0.6325,0.3675,0.75,0.45455,0.60577,0.72043,"k = 40",1,5,"moviles132"
"resumen_metricas.2451","modelo_knn - epanechnikov",0.6375,0.3625,0.75,0.44444,0.625,0.73118,"k = 40",1,5,"moviles132"
"resumen_metricas.3451","modelo_knn - biweight",0.6,0.4,0.68269,0.46465,0.53846,0.72043,"k = 40",1,5,"moviles132"
"resumen_metricas.445","modelo_knn - triweight",0.55,0.45,0.58654,0.44444,0.48077,0.69892,"k = 40",1,5,"moviles132"
"resumen_metricas.545","modelo_knn - cos",0.635,0.365,0.75,0.45455,0.61538,0.72043,"k = 40",1,5,"moviles132"
"resumen_metricas.645","modelo_knn - inv",0.7,0.3,0.84615,0.51515,0.66346,0.77419,"k = 40",1,5,"moviles132"
"resumen_metricas.745","modelo_knn - gaussian",0.6725,0.3275,0.78846,0.45455,0.67308,0.77419,"k = 38",1,5,"moviles132"
"resumen_metricas.845","modelo_knn - optimal",0.6275,0.3725,0.71154,0.46465,0.60577,0.73118,"k = 40",1,5,"moviles132"
"resumen_metricas558","modelo_knn - rectangular",0.6325,0.3675,0.76344,0.48182,0.56731,0.75269,"k = 35",2,1,"moviles132"
"resumen_metricas.1552","modelo_knn - triangular",0.6225,0.3775,0.74194,0.44545,0.58654,0.75269,"k = 39",2,1,"moviles132"
"resumen_metricas.2551","modelo_knn - epanechnikov",0.6275,0.3725,0.74194,0.45455,0.57692,0.77419,"k = 37",2,1,"moviles132"
"resumen_metricas.3551","modelo_knn - biweight",0.56,0.44,0.67742,0.37273,0.5,0.73118,"k = 38",2,1,"moviles132"
"resumen_metricas.455","modelo_knn - triweight",0.5,0.5,0.6129,0.32727,0.41346,0.68817,"k = 40",2,1,"moviles132"
"resumen_metricas.555","modelo_knn - cos",0.625,0.375,0.74194,0.45455,0.57692,0.76344,"k = 38",2,1,"moviles132"
"resumen_metricas.655","modelo_knn - inv",0.645,0.355,0.77419,0.48182,0.60577,0.75269,"k = 36",2,1,"moviles132"
"resumen_metricas.755","modelo_knn - gaussian",0.6225,0.3775,0.75269,0.42727,0.625,0.72043,"k = 39",2,1,"moviles132"
"resumen_metricas.855","modelo_knn - optimal",0.61,0.39,0.70968,0.42727,0.59615,0.74194,"k = 40",2,1,"moviles132"
"resumen_metricas658","modelo_knn - rectangular",0.6025,0.3975,0.74038,0.42157,0.66667,0.59091,"k = 40",2,2,"moviles132"
"resumen_metricas.1652","modelo_knn - triangular",0.5775,0.4225,0.72115,0.38235,0.63095,0.58182,"k = 40",2,2,"moviles132"
"resumen_metricas.2651","modelo_knn - epanechnikov",0.59,0.41,0.73077,0.41176,0.65476,0.57273,"k = 40",2,2,"moviles132"
"resumen_metricas.3651","modelo_knn - biweight",0.555,0.445,0.71154,0.39216,0.55952,0.55455,"k = 40",2,2,"moviles132"
"resumen_metricas.465","modelo_knn - triweight",0.535,0.465,0.67308,0.38235,0.53571,0.54545,"k = 40",2,2,"moviles132"
"resumen_metricas.565","modelo_knn - cos",0.58,0.42,0.71154,0.39216,0.64286,0.58182,"k = 40",2,2,"moviles132"
"resumen_metricas.665","modelo_knn - inv",0.5975,0.4025,0.75,0.39216,0.69048,0.57273,"k = 39",2,2,"moviles132"
"resumen_metricas.765","modelo_knn - gaussian",0.59,0.41,0.74038,0.41176,0.66667,0.55455,"k = 40",2,2,"moviles132"
"resumen_metricas.865","modelo_knn - optimal",0.57,0.43,0.71154,0.41176,0.61905,0.54545,"k = 40",2,2,"moviles132"
"resumen_metricas758","modelo_knn - rectangular",0.6525,0.3475,0.78182,0.48936,0.56522,0.74038,"k = 26",2,3,"moviles132"
"resumen_metricas.1752","modelo_knn - triangular",0.61,0.39,0.76364,0.46809,0.5,0.67308,"k = 39",2,3,"moviles132"
"resumen_metricas.2751","modelo_knn - epanechnikov",0.615,0.385,0.77273,0.45745,0.51087,0.68269,"k = 40",2,3,"moviles132"
"resumen_metricas.3751","modelo_knn - biweight",0.555,0.445,0.72727,0.37234,0.48913,0.59615,"k = 40",2,3,"moviles132"
"resumen_metricas.475","modelo_knn - triweight",0.51,0.49,0.67273,0.37234,0.45652,0.50962,"k = 40",2,3,"moviles132"
"resumen_metricas.575","modelo_knn - cos",0.615,0.385,0.76364,0.46809,0.51087,0.68269,"k = 40",2,3,"moviles132"
"resumen_metricas.675","modelo_knn - inv",0.62,0.38,0.79091,0.42553,0.54348,0.68269,"k = 31",2,3,"moviles132"
"resumen_metricas.775","modelo_knn - gaussian",0.6375,0.3625,0.81818,0.45745,0.57609,0.66346,"k = 37",2,3,"moviles132"
"resumen_metricas.875","modelo_knn - optimal",0.6025,0.3975,0.77273,0.46809,0.48913,0.64423,"k = 40",2,3,"moviles132"
"resumen_metricas858","modelo_knn - rectangular",0.58,0.42,0.70833,0.43878,0.45946,0.73684,"k = 37",2,4,"moviles132"
"resumen_metricas.1852","modelo_knn - triangular",0.6,0.4,0.71875,0.46939,0.46847,0.76842,"k = 40",2,4,"moviles132"
"resumen_metricas.2851","modelo_knn - epanechnikov",0.5975,0.4025,0.72917,0.46939,0.45045,0.76842,"k = 39",2,4,"moviles132"
"resumen_metricas.3851","modelo_knn - biweight",0.555,0.445,0.67708,0.45918,0.40541,0.70526,"k = 40",2,4,"moviles132"
"resumen_metricas.485","modelo_knn - triweight",0.535,0.465,0.625,0.46939,0.3964,0.67368,"k = 40",2,4,"moviles132"
"resumen_metricas.585","modelo_knn - cos",0.5975,0.4025,0.72917,0.46939,0.45045,0.76842,"k = 40",2,4,"moviles132"
"resumen_metricas.685","modelo_knn - inv",0.605,0.395,0.70833,0.45918,0.51351,0.75789,"k = 38",2,4,"moviles132"
"resumen_metricas.785","modelo_knn - gaussian",0.6025,0.3975,0.72917,0.5,0.45045,0.75789,"k = 40",2,4,"moviles132"
"resumen_metricas.885","modelo_knn - optimal",0.59,0.41,0.72917,0.5,0.41441,0.74737,"k = 40",2,4,"moviles132"
"resumen_metricas958","modelo_knn - rectangular",0.63,0.37,0.78351,0.55208,0.50459,0.69388,"k = 37",2,5,"moviles132"
"resumen_metricas.1952","modelo_knn - triangular",0.59,0.41,0.70103,0.45833,0.52294,0.68367,"k = 40",2,5,"moviles132"
"resumen_metricas.2951","modelo_knn - epanechnikov",0.585,0.415,0.70103,0.4375,0.52294,0.68367,"k = 40",2,5,"moviles132"
"resumen_metricas.3951","modelo_knn - biweight",0.5425,0.4575,0.64948,0.42708,0.46789,0.63265,"k = 39",2,5,"moviles132"
"resumen_metricas.495","modelo_knn - triweight",0.5175,0.4825,0.62887,0.40625,0.45872,0.58163,"k = 39",2,5,"moviles132"
"resumen_metricas.595","modelo_knn - cos",0.585,0.415,0.69072,0.44792,0.52294,0.68367,"k = 40",2,5,"moviles132"
"resumen_metricas.695","modelo_knn - inv",0.6475,0.3525,0.80412,0.52083,0.56881,0.70408,"k = 40",2,5,"moviles132"
"resumen_metricas.795","modelo_knn - gaussian",0.63,0.37,0.7732,0.51042,0.51376,0.73469,"k = 37",2,5,"moviles132"
"resumen_metricas.895","modelo_knn - optimal",0.585,0.415,0.72165,0.41667,0.51376,0.69388,"k = 39",2,5,"moviles132"
"resumen_metricas1058","modelo_knn - rectangular",0.62,0.38,0.76786,0.47619,0.56977,0.64948,"k = 35",3,1,"moviles132"
"resumen_metricas.11052","modelo_knn - triangular",0.6075,0.3925,0.6875,0.51429,0.51163,0.70103,"k = 40",3,1,"moviles132"
"resumen_metricas.21051","modelo_knn - epanechnikov",0.6075,0.3925,0.70536,0.49524,0.51163,0.70103,"k = 40",3,1,"moviles132"
"resumen_metricas.31051","modelo_knn - biweight",0.5675,0.4325,0.63393,0.49524,0.45349,0.6701,"k = 40",3,1,"moviles132"
"resumen_metricas.4105","modelo_knn - triweight",0.56,0.44,0.625,0.54286,0.43023,0.61856,"k = 40",3,1,"moviles132"
"resumen_metricas.5105","modelo_knn - cos",0.5975,0.4025,0.6875,0.50476,0.48837,0.69072,"k = 39",3,1,"moviles132"
"resumen_metricas.6105","modelo_knn - inv",0.645,0.355,0.78571,0.49524,0.59302,0.69072,"k = 40",3,1,"moviles132"
"resumen_metricas.7105","modelo_knn - gaussian",0.6475,0.3525,0.76786,0.51429,0.5814,0.71134,"k = 40",3,1,"moviles132"
"resumen_metricas.8105","modelo_knn - optimal",0.595,0.405,0.71429,0.48571,0.47674,0.68041,"k = 39",3,1,"moviles132"
"resumen_metricas1178","modelo_knn - rectangular",0.6125,0.3875,0.7957,0.49425,0.5,0.67647,"k = 40",3,2,"moviles132"
"resumen_metricas.11172","modelo_knn - triangular",0.5675,0.4325,0.76344,0.48276,0.39831,0.65686,"k = 40",3,2,"moviles132"
"resumen_metricas.21171","modelo_knn - epanechnikov",0.5775,0.4225,0.76344,0.51724,0.40678,0.65686,"k = 38",3,2,"moviles132"
"resumen_metricas.31171","modelo_knn - biweight",0.555,0.445,0.73118,0.43678,0.42373,0.64706,"k = 40",3,2,"moviles132"
"resumen_metricas.4117","modelo_knn - triweight",0.535,0.465,0.72043,0.41379,0.40678,0.61765,"k = 40",3,2,"moviles132"
"resumen_metricas.5117","modelo_knn - cos",0.575,0.425,0.76344,0.51724,0.39831,0.65686,"k = 40",3,2,"moviles132"
"resumen_metricas.6117","modelo_knn - inv",0.6075,0.3925,0.7957,0.48276,0.49153,0.67647,"k = 36",3,2,"moviles132"
"resumen_metricas.7117","modelo_knn - gaussian",0.5975,0.4025,0.7957,0.49425,0.4661,0.65686,"k = 39",3,2,"moviles132"
"resumen_metricas.8117","modelo_knn - optimal",0.5625,0.4375,0.75269,0.47126,0.40678,0.64706,"k = 40",3,2,"moviles132"
"resumen_metricas1258","modelo_knn - rectangular",0.62,0.38,0.81176,0.44444,0.58491,0.68317,"k = 38",3,3,"moviles132"
"resumen_metricas.11252","modelo_knn - triangular",0.6175,0.3825,0.76471,0.50926,0.56604,0.66337,"k = 40",3,3,"moviles132"
"resumen_metricas.21251","modelo_knn - epanechnikov",0.6225,0.3775,0.76471,0.5,0.58491,0.67327,"k = 40",3,3,"moviles132"
"resumen_metricas.31251","modelo_knn - biweight",0.5825,0.4175,0.75294,0.47222,0.51887,0.62376,"k = 40",3,3,"moviles132"
"resumen_metricas.4125","modelo_knn - triweight",0.56,0.44,0.75294,0.42593,0.49057,0.61386,"k = 40",3,3,"moviles132"
"resumen_metricas.5125","modelo_knn - cos",0.6275,0.3725,0.76471,0.50926,0.59434,0.67327,"k = 39",3,3,"moviles132"
"resumen_metricas.6125","modelo_knn - inv",0.615,0.385,0.81176,0.4537,0.59434,0.64356,"k = 38",3,3,"moviles132"
"resumen_metricas.7125","modelo_knn - gaussian",0.6075,0.3925,0.81176,0.42593,0.58491,0.65347,"k = 39",3,3,"moviles132"
"resumen_metricas.8125","modelo_knn - optimal",0.6325,0.3675,0.78824,0.49074,0.60377,0.68317,"k = 40",3,3,"moviles132"
"resumen_metricas1358","modelo_knn - rectangular",0.605,0.395,0.72727,0.44565,0.51923,0.71277,"k = 39",3,4,"moviles132"
"resumen_metricas.11352","modelo_knn - triangular",0.6425,0.3575,0.71818,0.51087,0.55769,0.7766,"k = 38",3,4,"moviles132"
"resumen_metricas.21351","modelo_knn - epanechnikov",0.6425,0.3575,0.70909,0.51087,0.57692,0.76596,"k = 37",3,4,"moviles132"
"resumen_metricas.31351","modelo_knn - biweight",0.5975,0.4025,0.7,0.46739,0.49038,0.7234,"k = 40",3,4,"moviles132"
"resumen_metricas.4135","modelo_knn - triweight",0.5525,0.4475,0.66364,0.45652,0.39423,0.69149,"k = 40",3,4,"moviles132"
"resumen_metricas.5135","modelo_knn - cos",0.6425,0.3575,0.71818,0.51087,0.55769,0.7766,"k = 37",3,4,"moviles132"
"resumen_metricas.6135","modelo_knn - inv",0.6225,0.3775,0.71818,0.45652,0.58654,0.71277,"k = 39",3,4,"moviles132"
"resumen_metricas.7135","modelo_knn - gaussian",0.6375,0.3625,0.73636,0.48913,0.56731,0.74468,"k = 40",3,4,"moviles132"
"resumen_metricas.8135","modelo_knn - optimal",0.62,0.38,0.70909,0.5,0.51923,0.74468,"k = 40",3,4,"moviles132"
"resumen_metricas1458","modelo_knn - rectangular",0.645,0.355,0.75,0.49074,0.63953,0.70755,"k = 38",3,5,"moviles132"
"resumen_metricas.11452","modelo_knn - triangular",0.6225,0.3775,0.7,0.44444,0.68605,0.67925,"k = 39",3,5,"moviles132"
"resumen_metricas.21451","modelo_knn - epanechnikov",0.62,0.38,0.71,0.44444,0.67442,0.66981,"k = 40",3,5,"moviles132"
"resumen_metricas.31451","modelo_knn - biweight",0.565,0.435,0.68,0.37037,0.55814,0.66038,"k = 40",3,5,"moviles132"
"resumen_metricas.4145","modelo_knn - triweight",0.5275,0.4725,0.63,0.37037,0.46512,0.64151,"k = 39",3,5,"moviles132"
"resumen_metricas.5145","modelo_knn - cos",0.625,0.375,0.71,0.4537,0.67442,0.67925,"k = 40",3,5,"moviles132"
"resumen_metricas.6145","modelo_knn - inv",0.645,0.355,0.75,0.47222,0.66279,0.70755,"k = 37",3,5,"moviles132"
"resumen_metricas.7145","modelo_knn - gaussian",0.635,0.365,0.72,0.48148,0.67442,0.67925,"k = 38",3,5,"moviles132"
"resumen_metricas.8145","modelo_knn - optimal",0.61,0.39,0.69,0.4537,0.62791,0.67925,"k = 38",3,5,"moviles132"
"resumen_metricas278","modelo_knn - rectangular",0.69444,0.30556,0.81053,0.57831,0.6,0.77778,"k = 36",1,1,"moviles211"
"resumen_metricas.1272","modelo_knn - triangular",0.69444,0.30556,0.78947,0.57831,0.62727,0.76852,"k = 39",1,1,"moviles211"
"resumen_metricas.2271","modelo_knn - epanechnikov",0.69192,0.30808,0.8,0.59036,0.60909,0.75926,"k = 38",1,1,"moviles211"
"resumen_metricas.3271","modelo_knn - biweight",0.66667,0.33333,0.71579,0.59036,0.58182,0.76852,"k = 38",1,1,"moviles211"
"resumen_metricas.427","modelo_knn - triweight",0.64899,0.35101,0.72632,0.55422,0.55455,0.75,"k = 37",1,1,"moviles211"
"resumen_metricas.527","modelo_knn - cos",0.69192,0.30808,0.8,0.57831,0.61818,0.75926,"k = 39",1,1,"moviles211"
"resumen_metricas.627","modelo_knn - inv",0.66162,0.33838,0.74737,0.57831,0.6,0.71296,"k = 28",1,1,"moviles211"
"resumen_metricas.727","modelo_knn - gaussian",0.68434,0.31566,0.81053,0.57831,0.59091,0.75,"k = 30",1,1,"moviles211"
"resumen_metricas.827","modelo_knn - optimal",0.70202,0.29798,0.75789,0.62651,0.61818,0.7963,"k = 38",1,1,"moviles211"
"resumen_metricas1188","modelo_knn - rectangular",0.70202,0.29798,0.78218,0.58416,0.67347,0.77083,"k = 37",1,2,"moviles211"
"resumen_metricas.11182","modelo_knn - triangular",0.68434,0.31566,0.76238,0.57426,0.62245,0.78125,"k = 39",1,2,"moviles211"
"resumen_metricas.21181","modelo_knn - epanechnikov",0.67929,0.32071,0.75248,0.57426,0.61224,0.78125,"k = 36",1,2,"moviles211"
"resumen_metricas.31181","modelo_knn - biweight",0.66667,0.33333,0.77228,0.50495,0.61224,0.78125,"k = 39",1,2,"moviles211"
"resumen_metricas.4118","modelo_knn - triweight",0.63636,0.36364,0.75248,0.48515,0.57143,0.73958,"k = 39",1,2,"moviles211"
"resumen_metricas.5118","modelo_knn - cos",0.68434,0.31566,0.76238,0.57426,0.62245,0.78125,"k = 39",1,2,"moviles211"
