"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas72","modelo_arboles - Gini",0.7875,0.2125,0.88889,0.69,0.84536,0.73077,"minsplit=2",2,3,"moviles121"
"resumen_metricas.172","modelo_arboles - information",0.7975,0.2025,0.89899,0.61,0.81443,0.86538,"minsplit=2",2,3,"moviles121"
"resumen_metricas82","modelo_arboles - Gini",0.825,0.175,0.9537,0.70526,0.80808,0.81633,"minsplit=2",2,4,"moviles121"
"resumen_metricas.182","modelo_arboles - information",0.82,0.18,0.93519,0.8,0.56566,0.96939,"minsplit=2",2,4,"moviles121"
"resumen_metricas92","modelo_arboles - Gini",0.77,0.23,0.92553,0.68085,0.71569,0.76364,"minsplit=2",2,5,"moviles121"
"resumen_metricas.192","modelo_arboles - information",0.775,0.225,0.92553,0.65957,0.69608,0.81818,"minsplit=2",2,5,"moviles121"
"resumen_metricas102","modelo_arboles - Gini",0.795,0.205,0.90099,0.71,0.65347,0.91837,"minsplit=2",3,1,"moviles121"
"resumen_metricas.1102","modelo_arboles - information",0.795,0.205,0.90099,0.63,0.78218,0.86735,"minsplit=2",3,1,"moviles121"
"resumen_metricas112","modelo_arboles - Gini",0.815,0.185,0.91837,0.77778,0.62857,0.93458,"minsplit=2",3,2,"moviles121"
"resumen_metricas.1112","modelo_arboles - information",0.825,0.175,0.93878,0.68889,0.78095,0.8785,"minsplit=2",3,2,"moviles121"
"resumen_metricas122","modelo_arboles - Gini",0.78,0.22,0.90323,0.68468,0.76667,0.78302,"minsplit=2",3,3,"moviles121"
"resumen_metricas.1122","modelo_arboles - information",0.8,0.2,0.95699,0.73874,0.66667,0.83962,"minsplit=2",3,3,"moviles121"
"resumen_metricas132","modelo_arboles - Gini",0.8125,0.1875,0.94231,0.73148,0.68,0.90909,"minsplit=2",3,4,"moviles121"
"resumen_metricas.1132","modelo_arboles - information",0.8075,0.1925,0.94231,0.7037,0.8,0.78409,"minsplit=2",3,4,"moviles121"
"resumen_metricas142","modelo_arboles - Gini",0.77,0.23,0.95192,0.64835,0.64423,0.82178,"minsplit=2",3,5,"moviles121"
"resumen_metricas.1142","modelo_arboles - information",0.77,0.23,0.95192,0.64835,0.64423,0.82178,"minsplit=2",3,5,"moviles121"
"resumen_metricas19","modelo_arboles - Gini",0.8,0.2,0.92381,0.68932,0.72897,0.87059,"minsplit=2",1,1,"moviles122"
"resumen_metricas.119","modelo_arboles - information",0.795,0.205,0.92381,0.67961,0.76636,0.81176,"minsplit=2",1,1,"moviles122"
"resumen_metricas110","modelo_arboles - Gini",0.81,0.19,0.94595,0.67347,0.62353,0.9434,"minsplit=2",1,2,"moviles122"
"resumen_metricas.1110","modelo_arboles - information",0.7925,0.2075,0.91892,0.66327,0.65882,0.88679,"minsplit=2",1,2,"moviles122"
"resumen_metricas23","modelo_arboles - Gini",0.7875,0.2125,0.94,0.71875,0.6413,0.83036,"minsplit=2",1,3,"moviles122"
"resumen_metricas.123","modelo_arboles - information",0.795,0.205,0.94,0.69792,0.69565,0.83036,"minsplit=2",1,3,"moviles122"
"resumen_metricas33","modelo_arboles - Gini",0.7625,0.2375,0.94792,0.66304,0.62069,0.84375,"minsplit=2",1,4,"moviles122"
"resumen_metricas.133","modelo_arboles - information",0.7675,0.2325,0.94792,0.68478,0.62069,0.84375,"minsplit=2",1,4,"moviles122"
"resumen_metricas43","modelo_arboles - Gini",0.825,0.175,0.875,0.79279,0.76,0.88119,"minsplit=2",1,5,"moviles122"
"resumen_metricas.143","modelo_arboles - information",0.82,0.18,0.875,0.79279,0.74,0.88119,"minsplit=2",1,5,"moviles122"
"resumen_metricas53","modelo_arboles - Gini",0.7925,0.2075,0.91919,0.7767,0.74468,0.73077,"minsplit=2",2,1,"moviles122"
"resumen_metricas.153","modelo_arboles - information",0.7775,0.2225,0.93939,0.64078,0.68085,0.84615,"minsplit=2",2,1,"moviles122"
"resumen_metricas63","modelo_arboles - Gini",0.83,0.17,0.93162,0.74419,0.74227,0.87,"minsplit=2",2,2,"moviles122"
"resumen_metricas.163","modelo_arboles - information",0.825,0.175,0.94017,0.63953,0.80412,0.87,"minsplit=2",2,2,"moviles122"
"resumen_metricas73","modelo_arboles - Gini",0.7725,0.2275,0.92784,0.65741,0.69318,0.81308,"minsplit=2",2,3,"moviles122"
"resumen_metricas.173","modelo_arboles - information",0.785,0.215,0.92784,0.65741,0.67045,0.8785,"minsplit=2",2,3,"moviles122"
"resumen_metricas83","modelo_arboles - Gini",0.785,0.215,0.92473,0.67,0.74336,0.81915,"minsplit=2",2,4,"moviles122"
"resumen_metricas.183","modelo_arboles - information",0.79,0.21,0.93548,0.68,0.73451,0.82979,"minsplit=2",2,4,"moviles122"
"resumen_metricas93","modelo_arboles - Gini",0.8075,0.1925,0.97872,0.72816,0.63889,0.91579,"minsplit=2",2,5,"moviles122"
"resumen_metricas.193","modelo_arboles - information",0.795,0.205,0.94681,0.73786,0.62963,0.89474,"minsplit=2",2,5,"moviles122"
"resumen_metricas103","modelo_arboles - Gini",0.7975,0.2025,0.91509,0.75701,0.70707,0.80682,"minsplit=2",3,1,"moviles122"
"resumen_metricas.1103","modelo_arboles - information",0.79,0.21,0.91509,0.72897,0.70707,0.80682,"minsplit=2",3,1,"moviles122"
"resumen_metricas113","modelo_arboles - Gini",0.825,0.175,0.97895,0.72222,0.68041,0.93,"minsplit=2",3,2,"moviles122"
"resumen_metricas.1113","modelo_arboles - information",0.815,0.185,0.97895,0.67593,0.73196,0.89,"minsplit=2",3,2,"moviles122"
"resumen_metricas123","modelo_arboles - Gini",0.78,0.22,0.9,0.62766,0.75789,0.81188,"minsplit=2",3,3,"moviles122"
"resumen_metricas.1123","modelo_arboles - information",0.7975,0.2025,0.92727,0.58511,0.77895,0.87129,"minsplit=2",3,3,"moviles122"
"resumen_metricas133","modelo_arboles - Gini",0.8075,0.1925,0.87629,0.75556,0.65686,0.92793,"minsplit=2",3,4,"moviles122"
"resumen_metricas.1133","modelo_arboles - information",0.7925,0.2075,0.8866,0.75556,0.58824,0.92793,"minsplit=2",3,4,"moviles122"
"resumen_metricas143","modelo_arboles - Gini",0.775,0.225,0.95652,0.72277,0.64486,0.8,"minsplit=2",3,5,"moviles122"
"resumen_metricas.1143","modelo_arboles - information",0.77,0.23,0.95652,0.70297,0.64486,0.8,"minsplit=2",3,5,"moviles122"
"resumen_metricas20","modelo_arboles - Gini",0.7825,0.2175,0.93333,0.70192,0.63953,0.82857,"minsplit=2",1,1,"moviles131"
"resumen_metricas.120","modelo_arboles - information",0.7775,0.2225,0.93333,0.73077,0.5814,0.82857,"minsplit=2",1,1,"moviles131"
"resumen_metricas114","modelo_arboles - Gini",0.76,0.24,0.95604,0.63441,0.72222,0.74074,"minsplit=2",1,2,"moviles131"
"resumen_metricas.1114","modelo_arboles - information",0.7675,0.2325,0.96703,0.63441,0.64815,0.83333,"minsplit=2",1,2,"moviles131"
"resumen_metricas24","modelo_arboles - Gini",0.8275,0.1725,0.93,0.74468,0.70588,0.92308,"minsplit=2",1,3,"moviles131"
